data,ticker,peso
2011-10-24,CGAS5,0.5
2011-10-24,RENT3,0.5
2011-11-24,AUTM3,0.5
2011-11-24,ETER3,0.5
2011-12-23,CLSC6,0.5
2011-12-23,FHER3,0.5
2012-01-24,CNFB4,0.5
2012-01-24,SHOW3,0.5
2012-02-27,AUTM3,0.5
2012-02-27,VLID3,0.5
2012-03-27,ETER3,0.5
2012-03-27,VLID3,0.5
2012-04-26,ETER3,0.5
2012-04-26,VLID3,0.5
2012-05-28,ETER3,0.5
2012-05-28,VLID3,0.5
2012-06-27,ETER3,0.5
2012-06-27,VLID3,0.5
2012-07-27,SHOW3,0.5
2012-07-27,VLID3,0.5
2012-08-27,COCE5,0.5
2012-08-27,VLID3,0.5
2012-09-26,PFRM3,0.5
2012-09-26,VLID3,0.5
2012-10-26,DIRR3,0.5
2012-10-26,PFRM3,0.5
2012-11-29,BEMA3,0.5
2012-11-29,PFRM3,0.5
2013-01-03,BEMA3,0.5
2013-01-03,RDNI3,0.5
2013-02-04,BEMA3,0.5
2013-02-04,RDNI3,0.5
2013-03-07,BEMA3,0.5
2013-03-07,RDNI3,0.5
2013-04-08,BEMA3,0.5
2013-04-08,UNIP6,0.5
2013-05-08,FESA4,0.5
2013-05-08,UNIP6,0.5
2013-06-07,KEPL3,0.5
2013-06-07,RDNI3,0.5
2013-07-08,ETER3,0.5
2013-07-08,PTBL3,0.5
2013-08-07,ETER3,0.5
2013-08-07,PFRM3,0.5
2013-09-05,ETER3,0.5
2013-09-05,KEPL3,0.5
2013-10-04,KEPL3,0.5
2013-10-04,MAGG3,0.5
2013-11-04,BEMA3,0.5
2013-11-04,KEPL3,0.5
2013-12-05,BEMA3,0.5
2013-12-05,KEPL3,0.5
2014-01-09,BEMA3,0.5
2014-01-09,KEPL3,0.5
2014-02-07,BEMA3,0.5
2014-02-07,PSSA3,0.5
2014-03-12,BEMA3,0.5
2014-03-12,PSSA3,0.5
2014-04-10,BEMA3,0.5
2014-04-10,PSSA3,0.5
2014-05-14,ETER3,0.5
2014-05-14,PSSA3,0.5
2014-06-13,BEMA3,0.5
2014-06-13,FHER3,0.5
2014-07-16,DIRR3,0.5
2014-07-16,FHER3,0.5
2014-08-14,BEMA3,0.5
2014-08-14,KEPL3,0.5
2014-09-12,ETER3,0.5
2014-09-12,KEPL3,0.5
2014-10-13,GETI4,0.5
2014-10-13,KEPL3,0.5
2014-11-11,BEMA3,0.5
2014-11-11,ETER3,0.5
2014-12-11,BEMA3,0.5
2014-12-11,SAPR4,0.5
2015-01-15,BEMA3,0.5
2015-01-15,OGXP3,0.5
2015-02-13,BEMA3,0.5
2015-02-13,CVCB3,0.5
2015-03-18,BEMA3,0.5
2015-03-18,CVCB3,0.5
2015-04-17,CLSC4,0.5
2015-04-17,CVCB3,0.5
2015-05-20,CLSC4,0.5
2015-05-20,TCNO4,0.5
2015-06-19,ETER3,0.5
2015-06-19,TCNO4,0.5
2015-07-21,CVCB3,0.5
2015-07-21,TCNO4,0.5
2015-08-19,ELPL4,0.5
2015-08-19,ENBR3,0.5
2015-09-18,BEMA3,0.5
2015-09-18,FESA4,0.5
2015-10-20,BEMA3,0.5
2015-10-20,FESA4,0.5
2015-11-19,ENBR3,0.5
2015-11-19,FESA4,0.5
2015-12-21,CGAS5,0.5
2015-12-21,FESA4,0.5
2016-01-26,CGAS5,0.5
2016-01-26,FESA4,0.5
2016-02-26,CGAS5,0.5
2016-02-26,FESA4,0.5
2016-03-29,ALSC3,0.5
2016-03-29,EZTC3,0.5
2016-04-28,ALSC3,0.5
2016-04-28,FESA4,0.5
2016-05-30,CVCB3,0.5
2016-05-30,DIRR3,0.5
2016-06-28,DIRR3,0.5
2016-06-28,FESA4,0.5
2016-07-27,CVCB3,0.5
2016-07-27,EZTC3,0.5
2016-08-25,CVCB3,0.5
2016-08-25,SAPR4,0.5
2016-09-26,CVCB3,0.5
2016-09-26,SAPR4,0.5
2016-10-26,JHSF3,0.5
2016-10-26,SAPR4,0.5
2016-11-28,MMXM3,0.5
2016-11-28,SAPR4,0.5
2016-12-27,SAPR4,1.0
2017-01-27,PRIO3,0.5
2017-01-27,SGPS3,0.5
2017-03-01,JHSF3,0.5
2017-03-01,PRIO3,0.5
2017-03-30,PRIO3,0.5
2017-03-30,SHOW3,0.5
2017-05-03,PRIO3,0.5
2017-05-03,SHOW3,0.5
2017-06-01,BOBR4,0.5
2017-06-01,TEND3,0.5
2017-07-03,CGRA4,0.5
2017-07-03,TEND3,0.5
2017-08-01,TEND3,0.5
2017-08-01,UNIP6,0.5
2017-08-30,BOBR4,0.5
2017-08-30,UNIP6,0.5
2017-09-29,FESA4,0.5
2017-09-29,TEND3,0.5
2017-10-31,PRIO3,0.5
2017-10-31,TEND3,0.5
2017-12-04,PRIO3,1.0
2018-01-05,FESA4,0.5
2018-01-05,PRIO3,0.5
2018-02-06,PRIO3,0.5
2018-02-06,UNIP6,0.5
2018-03-09,PRIO3,0.5
2018-03-09,SHOW3,0.5
2018-04-10,PRIO3,0.5
2018-04-10,UNIP6,0.5
2018-05-10,PRIO3,0.5
2018-05-10,UNIP6,0.5
2018-06-11,TEND3,0.5
2018-06-11,UNIP6,0.5
2018-07-11,SHOW3,0.5
2018-07-11,TEND3,0.5
2018-08-09,PRIO3,0.5
2018-08-09,UNIP6,0.5
2018-09-10,TEND3,0.5
2018-09-10,UNIP6,0.5
2018-10-09,TEND3,0.5
2018-10-09,UNIP6,0.5
2018-11-09,TEND3,0.5
2018-11-09,TRIS3,0.5
2018-12-12,PRIO3,0.5
2018-12-12,TRIS3,0.5
2019-01-16,CRPG5,0.5
2019-01-16,GSHP3,0.5
2019-02-15,CRPG5,0.5
2019-02-15,PRIO3,0.5
2019-03-20,JHSF3,0.5
2019-03-20,PRIO3,0.5
2019-04-18,JHSF3,0.5
2019-04-18,TRIS3,0.5
2019-05-21,CPLE6,0.5
2019-05-21,TRIS3,0.5
2019-06-19,QUAL3,0.5
2019-06-19,TRIS3,0.5
2019-07-22,JHSF3,0.5
2019-07-22,SGPS3,0.5
2019-08-20,JHSF3,0.5
2019-08-20,UCAS3,0.5
2019-09-18,JHSF3,0.5
2019-09-18,TEND3,0.5
2019-10-17,JHSF3,0.5
2019-10-17,TEND3,0.5
2019-11-18,JHSF3,0.5
2019-11-18,TRIS3,0.5
2019-12-18,JHSF3,0.5
2019-12-18,TRIS3,0.5
2020-01-22,EALT4,0.5
2020-01-22,KEPL3,0.5
2020-02-20,KEPL3,0.5
2020-02-20,PTNT4,0.5
2020-03-24,JHSF3,0.5
2020-03-24,KEPL3,0.5
2020-04-24,JHSF3,0.5
2020-04-24,PRIO3,0.5
2020-05-26,PRIO3,0.5
2020-05-26,SLCE3,0.5
2020-06-25,JHSF3,0.5
2020-06-25,KEPL3,0.5
2020-07-24,CLSC4,0.5
2020-07-24,ETER3,0.5
