data,preco_abertura,preco_fechamento,preco_maximo,preco_medio,preco_minimo,quantidade_negociada,quantidade_negocios,ticker,volume_negociado,fator_ajuste,preco_fechamento_ajustado,fator_ajuste_desdobramentos,preco_fechamento_ajustado_desdobramentos,preco_abertura_ajustado,preco_maximo_ajustado,preco_medio_ajustado,preco_minimo_ajustado,volume,ValorDeMercado,EBIT_EV,momento_6_meses,ebit_dl,volume_medio_prop_20_200,RANK_FINAL_carteira1,ValorDeMercado_RANK_carteira1,EBIT_EV_RANK_carteira1,momento_6_meses_RANK_carteira1,ebit_dl_RANK_carteira1,volume_medio_prop_20_200_RANK_carteira1,posicao_carteira1
2025-08-25,19.37,19.54,20.32,19.82,19.37,9045800,15930,BRAV3,179329024.0,1.0,19.54,1.0,19.54,19.37,20.32,19.82,19.37,143217581.0,9144493001.0,0.139068691233485,-0.014624306606152215,0.2425544993784566,0.868360952174044,448.0,101.0,49.0,105.0,99.0,94.0,103.5
2025-08-25,15.65,15.54,15.97,15.65,15.51,193700,1380,BRBI11,3032838.0,1.0,15.54,1.0,15.54,15.65,15.97,15.65,15.51,3063834.0,1672581565.0,0.046929926923850666,0.17727272727272725,999.0,0.7355200988719497,386.5,43.0,135.0,70.0,11.5,127.0,76.0
2025-08-25,19.9,19.88,19.94,19.79,19.67,6524800,8713,BRFS3,129171774.0,1.0,19.88,1.0,19.88,19.9,19.94,19.79,19.67,102076777.0,32353960521.0,0.16669611903496293,0.04466631634261686,1.0728719688904553,0.5372575345641759,446.0,132.0,27.0,97.0,42.0,148.0,102.0
2025-08-25,8.46,8.7,8.71,8.6,8.45,2035200,3563,BRKM5,17520295.0,1.0,8.7,1.0,8.7,8.46,8.71,8.6,8.45,25851432.0,6896291617.0,-0.029748878031589515,-0.3338437978560491,-999.0,0.7444047616622449,658.0,92.0,146.0,145.0,149.0,126.0,155.0
2025-08-25,3.11,3.03,3.2,3.07,3.03,6221900,6855,CBAV3,19138850.0,1.0,3.03,1.0,3.03,3.11,3.2,3.07,3.03,20742764.0,2089944330.0,0.13643852055605302,-0.48381601362862015,0.2240178728287056,1.3748795085517314,370.0,53.0,53.0,151.0,102.0,11.0,63.5
2025-08-25,16.52,16.68,17.04,16.75,16.26,4234000,14557,CEAB3,70927056.0,1.0,16.68,1.0,16.68,16.52,17.04,16.75,16.26,56331227.0,4941168440.0,0.1566307125691385,0.6646706586826348,3.734939895968692,1.2663546955805423,167.0,80.0,34.0,5.0,30.0,18.0,5.0
2025-08-25,10.85,10.87,10.98,10.86,10.78,6109200,10293,CMIG4,66372611.0,1.0,10.87,1.0,10.87,10.85,10.98,10.86,10.78,111052401.0,35105845740.0,0.21158967574921894,0.04118773946360155,0.7543201183875075,0.8506316132172814,395.0,135.0,8.0,99.0,54.0,99.0,78.0
2025-08-25,5.0,5.03,5.1,5.04,4.98,5146600,6112,CMIN3,25956615.0,1.0,5.03,1.0,5.03,5.0,5.1,5.04,4.98,23661543.0,27591254340.0,0.1986018632213528,-0.025193798449612337,999.0,0.6172151408536363,399.5,127.0,10.0,109.0,11.5,142.0,83.0
2025-08-25,2.93,2.97,3.01,2.97,2.93,19447300,15302,COGN3,57812493.0,1.0,2.97,1.0,2.97,2.93,3.01,2.97,2.93,75587333.0,5611052568.0,0.12864503708482908,0.8000000000000003,0.2763111594665976,1.021538505806545,299.0,85.0,67.0,3.0,92.0,52.0,40.0
2025-08-25,39.96,39.28,40.07,39.41,39.19,1177200,6417,CPFE3,46396014.0,1.0,39.28,1.0,39.28,39.96,40.07,39.41,39.19,46969342.0,45571663102.0,0.1524789940501311,0.2123456790123457,0.4448211601176707,0.987695466612524,369.0,142.0,37.0,60.0,70.0,60.0,62.0
2025-08-25,12.14,12.15,12.29,12.16,12.1,9910800,18100,CPLE6,120538876.0,1.0,12.15,1.0,12.15,12.14,12.29,12.16,12.1,149567570.0,36094174025.0,0.08825045925465355,0.2436028659160696,0.275819730364944,1.0271188597688883,441.0,138.0,110.0,50.0,93.0,50.0,98.5
2025-08-25,4.71,4.64,4.76,4.63,4.56,461500,995,CSED3,2136828.0,1.0,4.64,1.0,4.64,4.71,4.76,4.63,4.56,1177706.0,1855521590.0,0.22291255245816002,0.36070381231671544,1.034211873532579,0.7795231082459932,247.0,48.0,7.0,28.0,44.0,120.0,20.0
2025-08-25,27.9,27.84,28.03,27.79,27.6,3084800,9694,CSMG3,85754537.0,1.0,27.84,1.0,27.84,27.9,28.03,27.79,27.6,69688962.0,10122334860.0,0.1253235792525365,0.26891522333637186,0.34453787030736066,1.5895453941055877,302.0,108.0,70.0,37.0,82.0,5.0,41.0
2025-08-25,7.22,7.24,7.36,7.26,7.19,5928700,7306,CSNA3,43083024.0,1.0,7.24,1.0,7.24,7.22,7.36,7.26,7.19,61329336.0,10012009300.0,0.10852677852543158,-0.1735159817351598,0.1420521287080614,0.6728897868563962,588.0,105.0,88.0,131.0,130.0,134.0,147.0
2025-08-25,17.6,17.8,18.23,17.9,17.6,23300,79,CSUD3,417300.0,1.0,17.8,1.0,17.8,17.6,18.23,17.9,17.6,530332.0,728992000.0,0.1803661631300614,0.09876543209876543,999.0,0.8147008021408326,243.5,17.0,18.0,87.0,11.5,110.0,18.0
2025-08-25,33.33,33.39,33.77,33.48,33.03,1420500,7110,CURY3,47568396.0,1.0,33.39,1.0,33.39,33.33,33.77,33.48,33.03,63847270.0,9398377834.0,0.11253760175094493,0.4820239680426097,999.0,1.267176607632139,231.5,103.0,84.0,16.0,11.5,17.0,14.0
2025-08-25,2.04,2.05,2.08,2.05,2.04,5356500,3288,CVCB3,11024937.0,1.0,2.05,1.0,2.05,2.04,2.08,2.05,2.04,18906557.0,1219371345.0,0.07255336544096377,0.10810810810810789,0.6183011116592817,0.5749961547444997,434.0,29.0,117.0,85.0,58.0,145.0,94.0
